板块,大项,子项,级别,参考来源/标准
管理人尽调(Management DD),主体资格,管理人登记状态(AMAC 公示核查),必查,AMAC 信息公示平台
管理人尽调(Management DD),主体资格,管理人实缴资本 ≥ 1000万人民币,必查,AMAC 登记须知
管理人尽调(Management DD),主体资格,管理人无重大违法违规/失信/异常经营记录,必查,国家企业信用信息公示系统/天眼查/企查查/中国执行信息公开网
管理人尽调(Management DD),主体资格,管理人近 3 年无被 AMAC 纪律处分/被暂停登记备案记录,必查,AMAC 纪律处分公告
管理人尽调(Management DD),团队,全职员工 ≥ 5 人(高管+投资+合规+风控),必查,劳动合同+社保缴纳记录(≥6个月)
管理人尽调(Management DD),团队,投资负责人 5 年以上相关从业经验(履历真实性核查),必查,劳动合同/从业证明/历史项目清单/背调
管理人尽调(Management DD),团队,合规风控负责人独立履职(不得兼任投资岗位),必查,AMAC 登记须知/内部组织架构图
管理人尽调(Management DD),业绩,在管基金历史业绩+DPI/TVIR/MOIC 等指标,必查,GIPS(或自行报告)口径的基金业绩数据
管理人尽调(Management DD),业绩,代表项目的退出情况(IPO/并购/转让/清算),必查,退出文件/审计报告
管理人尽调(Management DD),业绩,是否存在业绩虚报/选择性披露("cherry-picking"),重点关注,对比AMAC备案+LP报告+看过的项目全清单
管理人尽调(Management DD),内控,内部投资决策流程(投决会组成/表决机制/一票否决权),必查,IC章程/会议纪要样本
管理人尽调(Management DD),内控,利益冲突管理机制(关联交易审批/交叉投资披露/员工跟投规则),必查,内控制度文件
管理人尽调(Management DD),内控,独立基金账户核算+资产隔离(不得混同基金资产与管理人自有资产),必查,托管报告/审计报告
基金尽调(Fund DD),结构,法律形式(合伙/契约/公司)+注册地+GP/管理人安排,必查,基金合同/LPA
基金尽调(Fund DD),结构,基金期限(投资期+退出期+延长期)+ GP是否有权单方延期,必查,LPA
基金尽调(Fund DD),结构,所有 LP 名单+份额比例+实缴情况+与 GP 的关联关系,必查,LP 名册/缴款记录/关联方声明
基金尽调(Fund DD),经济条款,管理费(Carried Interest)+管理费率+收取期间+计算基数,必查,LPA
基金尽调(Fund DD),经济条款,收益分配 waterfall(门槛收益率 hurdle rate+追补 catch-up+分成比例),必查,LPA 分配条款
基金尽调(Fund DD),经济条款,GP/LP 之间的费用分摊(开办费/尽调费/管理费/托管费/其他运营费用),必查,LPA + side letter
基金尽调(Fund DD),经济条款,是否存在 GP/LP 特殊权利安排(side letter 中的最惠国条款 MFN/特殊赎回权/信息权),重点关注,side letter清单+关键条款摘要
基金尽调(Fund DD),法律合规,基金是否在 AMAC 完成备案(备案编码+备案时间),必查,AMAC 私募基金公示
基金尽调(Fund DD),法律合规,基金投资者是否均为合格投资者(自然人/机构各自对应标准),必查,合格投资者证明文件(资产/收入/投资经历)
基金尽调(Fund DD),法律合规,基金是否涉及多层嵌套(资管新规限制→最多一层嵌套,FOF 例外),必查,基金结构图+上层 LP GP 穿透
基金尽调(Fund DD),法律合规,是否存在保本保收益承诺/对投资者变相刚兑(违反资管新规),重点关注,LPA+补充协议+推介材料中的措辞
底层资产尽调(Underlying DD),财务,目标公司近 3 年经审计财务报告+最近一期财务报表,必查,审计报告/管理报表
底层资产尽调(Underlying DD),财务,收入确认政策+应收账款账龄+大客户集中度(前5大客户占比),必查,收入明细/合同/应收账款明细表
底层资产尽调(Underlying DD),财务,毛利率/净利率历史趋势及驱动因素拆解,必查,分产品/分业务的收入成本表
底层资产尽调(Underlying DD),财务,负债+对外担保+表外负债(含对赌/回购义务等或有负债),必查,征信报告/贷款合同/担保合同/对赌协议
底层资产尽调(Underlying DD),法律,股权结构+历史沿革+历次增资/转让的对价+是否存在代持,必查,工商档案/股权转让协议/代持确认函
底层资产尽调(Underlying DD),法律,核心资产权属(知识产权/不动产/关键设备/牌照/资质),必查,权属证书/商标专利注册证/经营许可证
底层资产尽调(Underlying DD),法律,重大合同(客户/供应商/借款/担保/资产购买)+ 是否含控制权变更条款,必查,合同清单+关键条款审查
底层资产尽调(Underlying DD),法律,诉讼/仲裁/行政处罚(已结案+未决+潜在),必查,裁判文书网/中国执行信息公开网/行政处罚公示
底层资产尽调(Underlying DD),业务,行业竞争格局+主要竞争对手+目标公司竞争优势/护城河,必查,行业研究报告/专家访谈/客户访谈
底层资产尽调(Underlying DD),业务,客户/供应商依赖度(前五大占比)>30%时须专项分析,必查,采购/销售明细+合作协议
底层资产尽调(Underlying DD),业务,技术壁垒/研发投入/核心技术团队稳定性,必查,专利/研发人员名册/竞业限制协议
底层资产尽调(Underlying DD),人力,核心团队履历+劳动合同+竞业限制+股权激励安排,必查,劳动合同/期权协议/竞业协议
底层资产尽调(Underlying DD),ESG,是否存在环境/安全重大违法违规或未批先建等合规风险,重点行业,环评批复/排污许可证/安全生产许可证
底层资产尽调(Underlying DD),税务,历次股权转让是否完税+是否存在历史税务风险+税收优惠到期时间,必查,完税证明/税务鉴证报告/税收优惠批文
底稿与流程(Workflow),尽调管理,尽调前签署保密协议(NDA)+利益冲突声明,必查,签章版 NDA/利益冲突声明函
底稿与流程(Workflow),尽调管理,尽调清单(Checklist)发出+资料收集情况追踪,必查,尽调请求清单+资料交付日志
底稿与流程(Workflow),尽调管理,专家访谈安排(行业专家/客户/供应商)+访谈纪要整理,必查,访谈名单/访谈纪要(经被访谈方确认)
底稿与流程(Workflow),尽调管理,尽调重大问题/红线问题清单+管理层澄清+中介机构专业意见,必查,问题日志(Issues Log)+管理层书面答复
底稿与流程(Workflow),尽调管理,尽调报告撰写(含风险评估+估值影响+交易建议),必查,尽调报告终稿+QP sign-off
特殊监管(Regulatory),外资准入,涉外资LP/外资管理人时核查外商投资准入负面清单(2024版)+QFLP试点资格+发改委外资安全审查,涉外必查,负面清单比对/QFLP批文/安全审查意见
特殊监管(Regulatory),国资监管,涉国资LP或国有股权时核查进场交易(产权交易所)+资产评估备案+审批程序(国资委32号令),涉国资必查,评估备案表/进场交易凭证/批准文件
特殊监管(Regulatory),反洗钱,投资者反洗钱(KYC)与最终受益所有人识别(穿透至自然人,≥25%口径),必查,KYC底稿/受益所有人识别记录

# ✅ 已核对(核对人:Crab Code Work;核对方式:对照补充外资准入(负面清单2024版第23号)、国有股权进场交易(32号令)、反洗钱受益所有人识别(〔2024〕第3号)三项尽调必查口径;核对范围:核心口径·科目·阈值,非逐行全文;日期:2026年6月21日)。AI 辅助完成,请具备相关资质人员认真核对。
