字段类别,字段名称,必填/选填,格式要求,说明,对kyc-doc-parse技能的提取要求
个人基本信息,姓名,必填,与身份证件严格一致,中文姓名和拼音/英文名(外籍),姓名/拼音分字段提取
个人基本信息,性别,必填,男/女,按身份证第17位可校验,OCR校验:证件性别字段 vs 填写性别
个人基本信息,国籍,必填,ISO 3166 三字母代码(CHN/USA等),国籍=税务居民国的关联起点,须与证件签发国交叉校验
个人基本信息,出生日期,必填,YYYY-MM-DD,按身份证第7-14位校验,OCR校验:证件出生日期 vs 填写出生日期
个人基本信息,职业,必填,预定义代码表(就业单位/国家机关/金融机构/自由职业/退休/学生/无业/其他),反洗钱关注点——特定职业为高风险(如政治人物PEP,博彩行业等)
个人基本信息,工作单位,必填(有就业者),公司全称/统一社会信用代码(如有),高风险行业(军火/博彩/加密货币/贵金属回收等)须触发EDD
个人基本信息,行业类别,条件必填,按照《国民经济行业分类标准》或机构自编行业分类表,用于风险评分
个人基本信息,年收入/资产,条件必填,万元人民币整数,合格投资者门槛(私募)的一条判断依据:自然人≥金融资产300万 或 近3年年均收入≥40万
个人基本信息,住所地/经常居住地,必填,省份+城市+区/县+详细地址+邮政编码,非本地居住须触发EDD——境外地址须审查
证件信息,证件种类,必填,居民身份证/护照/港澳台通行证/外国人永久居留身份证,按编码表
证件信息,证件号码,必填,对应证件种类的编号规则,身份证18位校验(含校验位算法)/护照字母+数字/通行证校验
证件信息,证件有效期限,必填,YYYY-MM-DD(长期有效=9999-12-31),到期日<当前日的须标记异常——尽调时要求提供更新证件
证件信息,证件签发机关,必填(身份证),身份证背面签发机关全称(XX市公安局XX分局),—
证件信息,证件影像件,必填,正面+反面(身份证)或信息页(护照),**kyc-doc-parse核心提取源**——OCR+NLP提取全部证件信息
联系方式,手机号码,必填,1开头的11位中国大陆手机号,+86/无前缀均可,用户激活校验——入金/出金/NFT指令须短信验证码确认
联系方式,电子邮箱,选填,符合邮箱格式,用于交易确认/对账单/电子合同推送
联系方式,备用联系方式,选填,座机号码(区号+号码),用于主联系渠道失效时备用
税务信息,税收居民身份,必填,中国税收居民/非中国税收居民/双重居民,**CRS/ FATCA必填项**——中国居民境内开户→内地,非中国居民→须填写自证声明(税收居民国+纳税人识别号TIN)
税务信息,纳税人识别号(TIN),条件必填,中国居民→身份证号即为 TIN,他国 TIN 须填写,CRS 报送必备字段
税务信息,是否拥有境外税收居民身份/绿卡,必填,是/否,CRS——双重居民须报告全部居民国
机构开户信息,机构全称,必填,与营业执照/注册证书完全一致,系统校验:工商注册名称 vs 填写名称
机构开户信息,统一社会信用代码,必填,18位代码(含校验位) + 营业执照影像件,OCR提取:代码+证照有效期
机构开户信息,机构类型,必填,企业法人/合伙企业/事业单位/社会团体/政府机关/金融机构等,AMAC 备案时须核实
机构开户信息,注册地址/办公地址,必填,省份+城市+区/县+详细地址+邮政编码,注册地与办公地不一致时须分别填写(境外注册按当地格式)
